"data_year","state_name","total_agencies","participation_agencies","participating_agencies_pct","nibrs_participating_agencies","nibrs_participating_agencies","covered_agencies","covered_pct","total_population","nibrs_population"
1982,"US Virgin Islands",3,0,0,0,0,0,0,0,0
1982,"Virginia",485,397,0.82,0,0,0,0,5493803,0
1982,"Vermont",105,9,0.09,0,0,0,0,519791,0
1982,"Washington",329,165,0.50,0,0,0,0,4258819,0
1982,"Wisconsin",492,260,0.53,0,0,1,0.00,4799408,0
1982,"West Virginia",535,351,0.66,0,0,0,0,1951516,0
1982,"Wyoming",90,69,0.77,0,0,0,0,502000,0
1982,"Mariana Islands",1,0,0,0,0,0,0,0,0
1982,"Other",0,0,0,0,0,0,0,0,0
1983,"Alaska",55,24,0.44,0,0,0,0,525359,0
1983,"Alabama",490,287,0.59,0,0,0,0,4018684,0
1983,"Arkansas",352,200,0.57,0,0,2,0.01,2357259,0
1983,"American Samoa",1,0,0,0,0,0,0,0,0
1983,"Arizona",172,95,0.55,0,0,0,0,2975728,0
1983,"California",938,659,0.70,0,0,6,0.01,25457775,0
1983,"Colorado",323,220,0.68,0,0,1,0.00,3160502,0
1983,"Connecticut",129,100,0.78,0,0,0,0,3205164,0
1983,"Canal Zone",0,0,0,0,0,0,0,0,0
1983,"District of Columbia",3,1,0.33,0,0,0,0,623000,0
1983,"Delaware",84,50,0.60,0,0,0,0,607678,0
1983,"Florida",1223,689,0.56,0,0,0,0,10806691,0
1983,"Georgia",829,415,0.50,0,0,0,0,5764320,0
1983,"Guam",3,0,0,0,0,0,0,0,0
1983,"Hawaii",18,5,0.28,0,0,0,0,1072227,0
1983,"Iowa",300,223,0.74,0,0,0,0,2917664,0
1983,"Idaho",154,98,0.64,0,0,3,0.03,1011239,0
1983,"Illinois",1188,660,0.56,0,0,0,0,11588790,0
1983,"Indiana",451,277,0.61,0,0,0,0,5492393,0
1983,"Kansas",474,250,0.53,0,0,0,0,2457371,0
1983,"Kentucky",725,410,0.57,0,0,0,0,3725773,0
1983,"Louisiana",315,124,0.39,0,0,0,0,4456297,0
1983,"Massachusetts",512,283,0.55,0,0,0,0,5783341,0
1983,"Maryland",225,155,0.69,0,0,0,0,4385408,0
1983,"Maine",244,132,0.54,0,0,0,0,1154058,0
1983,"Michigan",867,648,0.75,0,0,0,0,9231383,0
1983,"Minnesota",498,286,0.57,0,0,0,0,4158158,0
1983,"Missouri",731,240,0.33,0,0,0,0,5042663,0
